Bairros,ID
Aflitos,1
Afogados,2
Alto José Bonifácio,3
Alto José do Pinho,4
Alto Santa Teresinha,5
Alto do Mandu,6
Apipucos,7
Areias,8
Arruda,9
Barro,10
Beberibe,11
Boa Viagem,12
Boa Vista,13
Bomba do Hemetério,14
Bongi,15
Brasília Teimosa,16
Brejo da Guabiraba,17
Brejo de Beberibe,18
Cabanga,19
Cajueiro,20
Campina do Barreto,21
Campo Grande,22
Casa Amarela,23
Casa Forte,24
Caxangá,25
Caçote,26
Cidade Universitária,27
Coelhos,28
Cohab,29
Coqueiral,30
Cordeiro,31
Curado,32
Córrego do Jenipapo,33
Derby,34
Dois Irmãos,35
Dois Unidos,36
Encruzilhada,37
Engenho do Meio,38
Espinheiro,39
Estância,40
Fundão,41
Graças,42
Guabiraba,43
Hipódromo,44
Ibura,45
Ilha Joana Bezerra,46
Ilha do Leite,47
Ilha do Retiro,48
Imbiribeira,49
Ipsep,50
Iputinga,51
Jaqueira,52
Jardim São Paulo,53
Jiquiá,54
Jordão,55
Linha do Tiro,56
Macaxeira,57
Madalena,58
Mangabeira,59
Mangueira,60
Monteiro,61
Morro da Conceição,62
Mustardinha,63
Nova Descoberta,64
Paissandu,65
Parnamirim,66
Passarinho,67
Pau-Ferro,68
Peixinhos,69
Pina,70
Ponto de Parada,71
Porto da Madeira,72
Poço,73
Prado,74
Recife,75
Rosarinho,76
San Martin,77
Sancho,78
Santana,79
Santo Amaro,80
Santo Antônio,81
Soledade,82
São José,83
Sítio dos Pintos,84
Tamarineira,85
Tejipió,86
Torre,87
Torreão,88
Torrões,89
Totó,90
Vasco da Gama,91
Várzea,92
Zumbi,93
Água Fria,94
