bairro_origem,bairro_destino,logradouro,observacao,peso
Caxangá,Várzea,Avenida Afonso Olindense,,1.0
Alto Santa Terezinha,Linha do Tiro,Avenida Aníbal Benévolo,,1.3
Alto Santa Terezinha,Água Fria,Avenida Aníbal Benévolo,,1.3
Beberibe,Linha do Tiro,Avenida Aníbal Benévolo,,1.3
Beberibe,Porto da Madeira,Avenida Aníbal Benévolo,,1.3
Beberibe,Água Fria,Avenida Aníbal Benévolo,,1.3
Fundão,Porto da Madeira,Avenida Aníbal Benévolo,,1.3
Fundão,Água Fria,Avenida Aníbal Benévolo,,1.3
Linha do Tiro,Água Fria,Avenida Aníbal Benévolo,,1.3
Porto da Madeira,Água Fria,Avenida Aníbal Benévolo,,1.3
Boa Viagem,Imbiribeira,Avenida Antônio Torres Galvão,,2.0
Arruda,Ponto de Parada,Avenida Beberibe,,1.0
Arruda,Água Fria,Avenida Beberibe,,1.0
Cajueiro,Fundão,Avenida Beberibe,,1.0
Cajueiro,Porto da Madeira,Avenida Beberibe,,1.0
Encruzilhada,Ponto de Parada,Avenida Beberibe,,1.0
Cordeiro,Santana,Avenida Beira Rio,,1.0
Cordeiro,Torre,Avenida Beira Rio,,1.0
Derby,Graças,Avenida Beira Rio,,1.0
Graças,Torre,Avenida Beira Rio,,1.0
Santana,Torre,Avenida Beira Rio,,1.0
Ilha do Retiro,Madalena,Avenida Beira Rio Deputado Osvaldo Coelho,,1.0
Madalena,Torre,Avenida Beira Rio Governador Eduardo Campos,,1.0
Engenho do Meio,Torrões,Avenida Bicentenário da Revolução Francesa,,1.0
Boa Viagem,Pina,Avenida Boa Viagem,,1.3
Brasília Teimosa,Pina,Avenida Boa Viagem,,1.3
Cordeiro,Iputinga,Avenida Camarão,,2.0
Brejo da Guabiraba,Brejo de Beberibe,Avenida Canaã,,2.0
Brejo da Guabiraba,Passarinho,Avenida Canaã,,2.0
Brejo de Beberibe,Passarinho,Avenida Canaã,,2.0
Areias,Caçote,Avenida Capitão Gregório de Caldas,,1.0
Caxangá,Iputinga,Avenida Caxangá,,1.3
Cordeiro,Zumbi,Avenida Caxangá,,1.3
Iputinga,Várzea,Avenida Caxangá,,1.3
Madalena,Zumbi,Avenida Caxangá,,1.3
Ibura,Jordão,Avenida Centenário Alberto Santos Dumont,,1.0
Afogados,Ilha Joana Bezerra,Avenida Central,,1.0
Afogados,Imbiribeira,Avenida Central,,1.0
Afogados,Jiquiá,Avenida Central,,1.0
Afogados,Mangueira,Avenida Central,,1.0
Afogados,São José,Avenida Central,,1.0
Areias,Barro,Avenida Central,,1.0
Areias,Estância,Avenida Central,,1.0
Areias,Jardim São Paulo,Avenida Central,,1.0
Areias,Jiquiá,Avenida Central,,1.0
Barro,Jardim São Paulo,Avenida Central,,1.0
Barro,Tejipió,Avenida Central,,1.0
Coqueiral,Tejipió,Avenida Central,,1.0
Curado,Jardim São Paulo,Avenida Central,,1.0
Curado,Várzea,Avenida Central,,1.0
Estância,Jiquiá,Avenida Central,,1.0
Ilha Joana Bezerra,São José,Avenida Central,,1.0
Jardim São Paulo,Tejipió,Avenida Central,,1.0
Jiquiá,Mangueira,Avenida Central,,1.0
Dois Unidos,Passarinho,Avenida Chagas Ferreira,,2.0
Boa Vista,Soledade,Avenida Conde da Boa Vista,,1.0
Aflitos,Espinheiro,Avenida Conselheiro Rosa e Silva,,1.0
Aflitos,Graças,Avenida Conselheiro Rosa e Silva,,1.0
Espinheiro,Graças,Avenida Conselheiro Rosa e Silva,,1.0
Graças,Jaqueira,Avenida Conselheiro Rosa e Silva,,1.0
Graças,Tamarineira,Avenida Conselheiro Rosa e Silva,,1.0
Jaqueira,Tamarineira,Avenida Conselheiro Rosa e Silva,,1.0
Bongi,Mustardinha,Avenida Cônsul Vilares Fragoso,,2.3
Bongi,San Martin,Avenida Cônsul Vilares Fragoso,,2.3
Mustardinha,San Martin,Avenida Cônsul Vilares Fragoso,,2.3
Barro,Cohab - Ibura de Cima,Avenida Coração de Jesus,,1.3
Campo Grande,Peixinhos,Avenida Correia de Brito,,2.0
Apipucos,Caxangá,Avenida da Recuperação,,1.0
Apipucos,Dois Irmãos,Avenida da Recuperação,,1.0
Brejo da Guabiraba,Córrego do Jenipapo,Avenida da Recuperação,,1.0
Caxangá,Dois Irmãos,Avenida da Recuperação,,1.0
Córrego do Jenipapo,Dois Irmãos,Avenida da Recuperação,,1.0
Córrego do Jenipapo,Guabiraba,Avenida da Recuperação,,1.0
