bairro,grau
Recife,16
Santo Amaro,1
Boa Vista,21
Cabanga,6
Ilha do Leite,6
Paissandu,6
Santo Antonio,6
Sao Jose,6
Soledade,6
Coelhos,16
Ilha Joana Bezerra,1
Arruda,23
Campina do Barreto,8
Campo Grande,8
Encruzilhada,8
Hipodromo,8
Peixinhos,8
Ponto de Parada,8
Rosarinho,8
Torreao,8
Agua Fria,23
Alto Santa Teresinha,8
Bomba do Hemeterio,8
Cajueiro,8
Fundao,8
Porto da Madeira,8
Beberibe,8
Dois Unidos,8
Linha do Tiro,8
Aflitos,30
Alto do Mandu,15
Apipucos,15
Casa Amarela,15
Casa Forte,15
Derby,15
Dois Irmaos,15
Espinheiro,15
Gracas,15
Jaqueira,15
Monteiro,15
Parnamirim,15
Poco,15
Santana,15
Sitio dos Pintos,15
Tamarineira,15
Alto Jose Bonifacio,19
Alto Jose do Pinho,4
Mangabeira,4
Morro da Conceicao,4
Vasco da Gama,4
Brejo da Guabiraba,22
Brejo de Beberibe,7
Corrego do Jenipapo,7
Guabiraba,7
Macaxeira,7
Nova Descoberta,7
Passarinho,7
Pau-Ferro,7
Cordeiro,21
Ilha do Retiro,6
Iputinga,6
Madalena,6
Prado,6
Torre,6
Zumbi,6
Engenho do Meio,16
Torroes,1
Caxanga,17
Cidade Universitaria,2
Varzea,2
Afogados,19
Bongi,4
Mangueira,4
Mustardinha,4
San Martin,4
Areias,18
Cacote,3
Estancia,3
Jiquia,3
Barro,21
Coqueiral,6
Curado,6
Jardim Sao Paulo,6
Sancho,6
Tejipio,6
Toto,6
Boa Viagem,19
Brasilia Teimosa,4
Imbiribeira,4
Ipsep,4
Pina,4
Ibura,17
Jordao,2
Cohab,2
